Average_Validation_Accuracy,Average_Training_Accuracy,Average_Test_Accuracy,Learning_Rate,Batch_Size,Models
0.999204849,0.998689414,0.999006359,0.01,128,Adaptive
0.99933728,0.998969208,0.999205087,0.01,128,ElasticNet
0.999425619,0.999209719,0.999205087,0.01,128,FixedL1
0.998983943,0.998247624,0.998847377,0.01,128,FixedL2
0.998011762,0.997997311,0.998290938,0.01,128,MLP
0.998851571,0.998394867,0.998608903,0.01,128,Novel GRR
0.999381508,0.998998645,0.999443561,0.01,256,Adaptive
0.999646604,0.999523863,0.999562798,0.01,256,ElasticNet
0.999425717,0.998821943,0.998966614,0.01,256,FixedL1
0.999558206,0.999258798,0.99936407,0.01,256,FixedL2
0.999072243,0.998723776,0.999006359,0.01,256,MLP
0.999337319,0.999190084,0.999284579,0.01,256,Novel GRR
0.999204849,0.998772853,0.999244833,0.01,32,Adaptive
0.996907561,0.995400656,0.995747218,0.01,32,ElasticNet
0.999646585,0.999528776,0.999443561,0.01,32,FixedL1
0.996642758,0.996230171,0.996780604,0.01,32,FixedL2
0.995714982,0.994953943,0.995151033,0.01,32,MLP
0.9993373,0.998851386,0.998688394,0.01,32,Novel GRR
0.999028132,0.998630494,0.99872814,0.01,64,Adaptive
0.998497979,0.997943286,0.998569157,0.01,64,ElasticNet
0.999514037,0.999371698,0.999443561,0.01,64,FixedL1
0.998409621,0.997761679,0.99809221,0.01,64,FixedL2
0.995273012,0.995209201,0.995786963,0.01,64,MLP
0.999381489,0.999150807,0.999324324,0.01,64,Novel GRR
0.999823302,0.999744753,0.999721781,0.001,128,Adaptive
0.999514037,0.999533687,0.999682035,0.001,128,ElasticNet
0.999646546,0.999587682,0.999562798,0.001,128,FixedL1
0.999469926,0.999386425,0.999483307,0.001,128,FixedL2
0.999779132,0.99971039,0.999801272,0.001,128,MLP
0.999381528,0.999317702,0.999642289,0.001,128,Novel GRR
0.999734963,0.999543493,0.999523052,0.001,256,Adaptive
0.999558206,0.999298072,0.999562798,0.001,256,ElasticNet
0.999646565,0.999514055,0.999721781,0.001,256,FixedL1
0.999293169,0.999361885,0.998887122,0.001,256,FixedL2
0.999646565,0.999312795,0.999483307,0.001,256,MLP
0.999602415,0.99953859,0.999483307,0.001,256,Novel GRR
0.999558265,0.99946496,0.999602544,0.001,32,Adaptive
0.999514056,0.99921463,0.999483307,0.001,32,ElasticNet
0.999690774,0.999317702,0.999483307,0.001,32,FixedL1
0.999602395,0.99917045,0.999443561,0.001,32,FixedL2
0.999558187,0.999342251,0.999483307,0.001,32,MLP
0.99924898,0.998890664,0.998966614,0.001,32,Novel GRR
0.999646546,0.999553324,0.999682035,0.001,64,Adaptive
0.999602356,0.999258808,0.999483307,0.001,64,ElasticNet
0.999734904,0.99975457,0.999841017,0.001,64,FixedL1
0.999823283,0.999509139,0.999682035,0.001,64,FixedL2
0.999646624,0.99953859,0.999483307,0.001,64,MLP
0.999249039,0.998767939,0.999125596,0.001,64,Novel GRR
0.999734865,0.999263723,0.999244833,0.0001,128,Adaptive
0.999425697,0.99932752,0.99936407,0.0001,128,ElasticNet
0.999734885,0.999602409,0.999443561,0.0001,128,FixedL1
0.999425736,0.999361882,0.999403816,0.0001,128,FixedL2
0.999514056,0.999440422,0.999602544,0.0001,128,MLP
0.999690774,0.999636764,0.999721781,0.0001,128,Novel GRR
0.999646585,0.999494417,0.999682035,0.0001,256,Adaptive
0.999646624,0.999622037,0.999682035,0.0001,256,ElasticNet
0.999646585,0.99958277,0.999761526,0.0001,256,FixedL1
0.999160699,0.999366789,0.998966614,0.0001,256,FixedL2
0.999558206,0.999347156,0.999403816,0.0001,256,MLP
0.999469867,0.999651492,0.999602544,0.0001,256,Novel GRR
0.999690793,0.999626946,0.999721781,0.0001,32,Adaptive
0.999646585,0.999514045,0.999523052,0.0001,32,ElasticNet
0.999690774,0.99934716,0.999562798,0.0001,32,FixedL1
0.999425776,0.999450235,0.99936407,0.0001,32,FixedL2
0.999734924,0.999572949,0.999841017,0.0001,32,MLP
0.999823322,0.999464956,0.999403816,0.0001,32,Novel GRR
0.999469887,0.999317714,0.999483307,0.0001,64,Adaptive
0.999646565,0.999415883,0.999523052,0.0001,64,ElasticNet
0.999558187,0.99946497,0.999205087,0.0001,64,FixedL1
0.999293169,0.999185179,0.999046105,0.0001,64,FixedL2
0.999646565,0.999553319,0.999801272,0.0001,64,MLP
0.999734982,0.999631852,0.999761526,0.0001,64,Novel GRR
