Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
1,0.998478304,0.998200111,0.998348028,0.998271512,0.997937784,0.998233216,0.998124108,0.997979982,0.998051727,0.997595754,0.998807631,0.998624092,0.998745757,0.998684455,0.998382656,15.59666038,0.998674929,0.01,128,Adaptive
2,0.999852739,0.99985982,0.999798007,0.99982886,0.999800171,1,1,1,1,1,0.999602544,0.999580537,0.999457701,0.999518648,0.999460998,19.30638337,1,0.01,128,Adaptive
3,0.999460043,0.99952437,0.999357635,0.999440735,0.999267596,0.999558304,0.999675325,0.999404762,0.999539583,0.999401291,1,1,1,1,1,14.93556595,0.99955833,0.01,128,Adaptive
4,0.998625565,0.998651038,0.998151233,0.998396784,0.998138698,0.999116608,0.999027237,0.99872449,0.998873284,0.998792199,0.999602544,0.999708285,0.999457701,0.999582613,0.999460971,15.85933423,1,0.01,128,Adaptive
5,0.999558217,0.999549521,0.999401118,0.999474787,0.999401109,0.999558304,0.99953271,0.999360614,0.999446034,0.999399057,0.999205087,0.999162479,0.998915401,0.999037059,0.998922393,19.39329171,0.99955833,0.01,128,Adaptive
6,0.998281956,0.997951837,0.998340964,0.998143696,0.997668481,0.997791519,0.997651807,0.997755028,0.997698068,0.997032651,0.998410175,0.997964158,0.998709924,0.998333303,0.997845915,17.21080756,0.998674929,0.01,128,Adaptive
7,0.999018309,0.998988062,0.998900795,0.998944123,0.998668242,0.999558109,0.999511719,0.99952741,0.999519102,0.999401099,0.998807631,0.998624309,0.998745477,0.998684637,0.998382698,13.26477122,1,0.01,128,Adaptive
8,0.998036617,0.997947273,0.997948872,0.997940448,0.997340604,0.999116217,0.999038462,0.999107143,0.999071077,0.998804473,0.998012719,0.997916667,0.997930464,0.997914906,0.997309361,20.52310038,0.999116242,0.01,128,Adaptive
9,0.998380209,0.998297908,0.998172076,0.99823261,0.997804613,1,1,1,1,1,0.999205087,0.999166609,0.999037533,0.999101605,0.998921778,14.23833799,1,0.01,128,Adaptive
10,0.997202179,0.997079218,0.996860942,0.996963155,0.996208818,0.999116217,0.999100708,0.998906063,0.999002771,0.998799846,0.998410175,0.99834283,0.998197196,0.998267482,0.997844617,15.32811928,0.999558091,0.01,128,Adaptive
1,0.999361869,0.99933509,0.999310405,0.99932204,0.999135038,0.999558304,0.99954955,0.999535316,0.999542014,0.999399173,0.999602544,0.999586777,0.999579832,0.999582957,0.999461012,25.60187721,1,0.01,128,ElasticNet
2,0.999950913,0.999947895,0.999949156,0.99994852,0.999933387,1,1,1,1,1,1,1,1,1,1,22.31107426,1,0.01,128,ElasticNet
3,0.999067347,0.99894106,0.999038412,0.998989493,0.998734911,0.999558304,0.999675325,0.999404762,0.999539583,0.999401291,1,1,1,1,1,13.79892087,1,0.01,128,ElasticNet
4,0.999558217,0.999536344,0.999476729,0.99950651,0.999401201,0.999558304,0.999512671,0.999537037,0.999524402,0.999395875,0.999602544,0.999458874,0.999579832,0.999518883,0.999461028,16.32708478,1,0.01,128,ElasticNet
5,0.999754565,0.999682894,0.99980353,0.999743115,0.999667232,0.999558304,0.999362245,0.999680307,0.999520766,0.999399147,0.999602544,0.999458874,0.999707944,0.999583031,0.999461062,20.94006824,0.99955833,0.01,128,ElasticNet
6,0.999116434,0.9988346,0.999293759,0.999062969,0.998800935,0.999116608,0.998991883,0.999196557,0.999093378,0.998812272,0.999602544,0.999458874,0.999707944,0.999583031,0.999461062,17.6668365,0.9991166,0.01,128,ElasticNet
