Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
1,0.997956008,0.997065659,0.997208695,0.997124953,0.996857253,0.997892611,0.996932531,0.997134852,0.997020326,0.996758964,0.998103367,0.997421865,0.997314726,0.997358748,0.997082821,103.05005,0.998858511,0.01,128,Adaptive
2,0.999526808,0.999445422,0.999200021,0.999321889,0.999271944,0.999648768,0.999602971,0.999400074,0.999501111,0.999457821,0.999565355,0.999526067,0.999250405,0.999387668,0.999330954,114.4536047,0.99964875,0.01,128,Adaptive
3,0.996429112,0.995742009,0.993968958,0.994809461,0.994512755,0.997190148,0.996584233,0.99525201,0.995890549,0.995706324,0.996088193,0.995191537,0.993443058,0.994261085,0.993994926,125.464627,0.997585297,0.01,128,Adaptive
4,0.999946339,0.999921272,0.999905758,0.999913511,0.999917416,0.999912192,0.999891751,0.999852377,0.999872031,0.999864322,0.999920974,0.99991512,0.999843603,0.999879332,0.999878332,160.7221341,1,0.01,128,Adaptive
5,0.999087765,0.998795766,0.998539204,0.998665333,0.99859548,0.999034113,0.998759985,0.998405927,0.998580568,0.998520939,0.99913071,0.998781036,0.998700789,0.998739565,0.998662182,93.47350788,1,0.01,128,Adaptive
6,0.999863409,0.999744057,0.999770978,0.999757415,0.999789725,0.99978048,0.999733152,0.999606535,0.999669789,0.999662002,0.99988146,0.999854275,0.999777692,0.999815971,0.999817491,122.2855563,0.999780476,0.01,128,Adaptive
7,0.998775556,0.998392586,0.997959304,0.998175623,0.998114211,0.999078017,0.999055397,0.99832416,0.998689236,0.998583408,0.998972657,0.998738087,0.998243184,0.998490405,0.998418119,158.0592182,0.999078035,0.01,128,Adaptive
8,0.999317043,0.99888512,0.998970878,0.998927713,0.998949228,0.999297537,0.998723647,0.998963358,0.998842837,0.998912577,0.999407302,0.999091168,0.999096177,0.999093512,0.999087495,138.9803624,1,0.01,128,Adaptive
9,0.999882922,0.999799977,0.99984977,0.999824835,0.99981978,0.999868282,0.99978473,0.999837733,0.999811159,0.999797014,0.999841947,0.999783437,0.999776227,0.999779765,0.999756675,117.5989177,0.999868274,0.01,128,Adaptive
10,0.999951218,0.999910679,0.999917269,0.999913963,0.999924891,0.999956094,0.999925262,0.999946661,0.999935953,0.999932438,0.999920974,0.999868248,0.999843603,0.999855884,0.999878336,115.1430206,0.999956071,0.01,128,Adaptive
1,0.999975609,0.999965182,0.999955329,0.999960253,0.999962448,0.999956096,0.999925373,0.999946306,0.999935831,0.999932389,0.99988146,0.999896136,0.999795079,0.999845574,0.999817495,144.2808025,1,0.01,128,ElasticNet
2,0.99985853,0.999753482,0.999849637,0.999801528,0.999782276,0.999912192,0.999837955,0.999925192,0.999881557,0.999864435,0.999723408,0.999514483,0.999660052,0.999587136,0.999574215,190.1235723,0.999912202,0.01,128,ElasticNet
3,0.999717061,0.999747952,0.999485008,0.999616331,0.999564117,0.999385345,0.999479951,0.998923679,0.999201226,0.999058985,0.999723408,0.999655208,0.999489474,0.999572201,0.999574169,118.8273535,0.999868274,0.01,128,ElasticNet
4,0.999741452,0.999602776,0.999657522,0.999630104,0.999602118,0.999604865,0.999425185,0.99939966,0.999412354,0.999389415,0.999683894,0.999475949,0.999541983,0.99950888,0.999513359,106.9843631,0.999604881,0.01,128,ElasticNet
5,0.998692626,0.997922215,0.997822058,0.997867328,0.997987276,0.998375554,0.997576601,0.997545552,0.997555053,0.997513159,0.998696064,0.997973478,0.997794466,0.99787904,0.997993641,128.1002004,0.998419464,0.01,128,ElasticNet
6,0.999497539,0.999749322,0.999005148,0.999376203,0.999226589,0.999648768,0.999798439,0.999328458,0.999563061,0.999459261,0.999446815,0.99970488,0.998917511,0.999310093,0.999148479,143.2125144,0.99964875,0.01,128,ElasticNet
7,0.9991024,0.998796371,0.998583634,0.998689614,0.998617735,0.998990209,0.998822032,0.998303255,0.998562155,0.998448502,0.998814604,0.998288682,0.998150393,0.998219041,0.998174967,151.2217674,0.999473155,0.01,128,ElasticNet
8,0.999273139,0.999130925,0.998791915,0.998961169,0.998881534,0.999297537,0.999205308,0.998853944,0.999029505,0.998912271,0.999170223,0.999164003,0.998720695,0.998942101,0.998722362,137.8671534,0.999956071,0.01,128,ElasticNet
9,0.999956096,0.999946118,0.99993962,0.999942868,0.999932412,1,1,1,1,1,0.999920974,0.999868248,0.999843603,0.999855884,0.999878336,155.9011538,1,0.01,128,ElasticNet
